countries,feature,value,confidence
Puertorican,expression,smile,0.21
Puertorican,gender,female,1.0
Puertorican,glasses,no,1.0
Puertorican,goatee,no,0.9
Puertorican,gray hair,no,1.0
Puertorican,heavy makeup,yes,0.2
Puertorican,high cheekbones,yes,0.19
Puertorican,mouth open,no,0.86
Puertorican,mustache,no,0.99
Puertorican,narrow eyes,no,0.75
Puertorican,oval face,yes,1.0
Puertorican,pale skin,no,0.49
Puertorican,pointy nose,no,0.87
Puertorican,race,white,0.99
Puertorican,receding hairline,no,0.3
Puertorican,rosy cheeks,no,0.73
Puertorican,sideburns,no,1.0
Puertorican,straight hair,yes,0.88
Puertorican,wavy hair,no,0.98
Puertorican,wearing earrings,no,0.23
Puertorican,wearing hat,no,0.9
Puertorican,wearing lipstick,yes,0.56
Puertorican,wearing necklace,no,0.08
Puertorican,wearing necktie,no,1.0
Puertorican,young,yes,0.82
Romanian,5oclock shadow,no,1.0
Romanian,arched eyebrows,no,0.22
Romanian,attractive,no,0.03
Romanian,bags under eyes,no,0.56
Romanian,bald,no,0.55
Romanian,bangs,no,0.52
Romanian,beard,no,1.0
Romanian,big lips,no,0.82
Romanian,big nose,no,0.9
Romanian,black hair,no,0.52
Romanian,blond hair,no,0.26
Romanian,blurry,yes,0.01
Romanian,brown hair,yes,0.04
Romanian,bushy eyebrows,no,1.0
Romanian,chubby,no,0.57
Romanian,double chin,no,0.8
Romanian,expression,smile,0.82
Romanian,gender,female,1.0
Romanian,glasses,no,1.0
Romanian,goatee,no,1.0
Romanian,gray hair,no,0.84
Romanian,heavy makeup,no,0.29
Romanian,high cheekbones,yes,0.59
Romanian,mouth open,no,0.68
Romanian,mustache,no,1.0
Romanian,narrow eyes,no,0.55
Romanian,oval face,yes,1.0
Romanian,pale skin,no,0.37
Romanian,pointy nose,no,0.83
Romanian,race,white,1.0
Romanian,receding hairline,yes,0.02
Romanian,rosy cheeks,no,0.78
Romanian,sideburns,no,1.0
Romanian,straight hair,yes,0.98
Romanian,wavy hair,no,1.0
Romanian,wearing earrings,yes,0.0
Romanian,wearing hat,no,0.93
Romanian,wearing lipstick,yes,0.07
Romanian,wearing necklace,no,0.27
Romanian,wearing necktie,no,0.81
Romanian,young,yes,0.48
Russian,5oclock shadow,no,1.0
Russian,arched eyebrows,yes,0.01
Russian,attractive,yes,0.75
Russian,bags under eyes,no,1.0
Russian,bald,no,0.54
Russian,bangs,no,0.58
Russian,beard,no,0.96
Russian,big lips,no,0.53
Russian,big nose,no,1.0
Russian,black hair,no,0.62
Russian,blond hair,no,0.06
Russian,blurry,no,0.74
Russian,brown hair,yes,0.0
Russian,bushy eyebrows,no,1.0
Russian,chubby,no,0.98
Russian,double chin,no,1.0
Russian,expression,neutral,0.29
Russian,gender,female,0.98
Russian,glasses,no,1.0
Russian,goatee,no,0.9
Russian,gray hair,no,0.92
Russian,heavy makeup,yes,0.62
Russian,high cheekbones,no,0.47
Russian,mouth open,no,0.85
Russian,mustache,no,0.98
Russian,narrow eyes,no,1.0
Russian,oval face,yes,1.0
Russian,pale skin,yes,0.47
Russian,pointy nose,no,0.44
Russian,race,white,1.0
Russian,receding hairline,no,0.18
Russian,rosy cheeks,no,0.78
Russian,sideburns,no,0.94
Russian,straight hair,yes,0.73
Russian,wavy hair,no,0.85
Russian,wearing earrings,no,0.63
Russian,wearing hat,no,1.0
Russian,wearing lipstick,yes,0.77
Russian,wearing necklace,no,0.42
Russian,wearing necktie,no,0.77
Russian,young,yes,1.0
Samoan,5oclock shadow,no,1.0
Samoan,arched eyebrows,no,0.62
Samoan,attractive,no,0.59
Samoan,bags under eyes,no,0.71
Samoan,bald,no,0.74
Samoan,bangs,no,0.92
Samoan,beard,no,1.0
Samoan,big lips,no,0.9
Samoan,big nose,no,0.84
Samoan,black hair,yes,0.21
Samoan,blond hair,no,0.97
Samoan,blurry,yes,0.25
Samoan,brown hair,yes,0.05
Samoan,bushy eyebrows,no,0.23
Samoan,chubby,no,0.33
Samoan,double chin,no,0.76
Samoan,expression,neutral,0.79
Samoan,gender,female,0.23
Samoan,glasses,no,1.0
Samoan,goatee,no,1.0
Samoan,gray hair,no,0.95
Samoan,heavy makeup,no,0.92
Samoan,high cheekbones,no,0.56
Samoan,mouth open,no,0.63
Samoan,mustache,no,1.0
Samoan,narrow eyes,no,0.73
Samoan,oval face,yes,1.0
Samoan,pale skin,no,0.82
Samoan,pointy nose,no,1.0
Samoan,race,hispanic,0.93
Samoan,receding hairline,no,0.07
Samoan,rosy cheeks,no,1.0
Samoan,sideburns,no,1.0
Samoan,straight hair,yes,0.08
Samoan,wavy hair,no,0.51
Samoan,wearing earrings,no,0.28
Samoan,wearing hat,no,1.0
Samoan,wearing lipstick,no,0.7
Samoan,wearing necklace,no,0.7
Samoan,wearing necktie,no,0.64
Samoan,young,yes,0.56
South African,5oclock shadow,no,1.0
South African,arched eyebrows,no,0.23
South African,attractive,yes,0.26
South African,bags under eyes,no,1.0
South African,bald,no,0.64
South African,bangs,no,0.75
South African,beard,no,1.0
South African,big lips,no,0.63
South African,big nose,no,1.0
South African,black hair,no,0.11
South African,blond hair,no,0.79
South African,blurry,no,0.32
South African,brown hair,yes,0.18
South African,bushy eyebrows,no,1.0
South African,chubby,no,0.66
South African,double chin,no,0.89
South African,expression,neutral,0.48
South African,gender,female,0.96
South African,glasses,no,1.0
South African,goatee,no,1.0
South African,gray hair,no,0.85
South African,heavy makeup,yes,0.12
South African,high cheekbones,no,0.31
South African,mouth open,no,0.78
South African,mustache,no,1.0
South African,narrow eyes,no,0.98
South African,oval face,yes,0.88
South African,pale skin,no,0.08
South African,pointy nose,no,0.49
South African,race,white,1.0
South African,receding hairline,no,0.17
South African,rosy cheeks,no,0.77
South African,sideburns,no,1.0
South African,straight hair,yes,0.6
South African,wavy hair,no,0.74
South African,wearing earrings,no,0.08
South African,wearing hat,no,1.0
South African,wearing lipstick,yes,0.52
South African,wearing necklace,no,0.36
South African,wearing necktie,no,0.67
South African,young,yes,0.36
South Indian,5oclock shadow,no,1.0
South Indian,arched eyebrows,no,0.22
South Indian,attractive,yes,0.16
South Indian,bags under eyes,no,0.68
South Indian,bald,no,0.68
South Indian,bangs,no,0.78
South Indian,beard,no,1.0
South Indian,big lips,no,0.46
South Indian,big nose,no,0.64
South Indian,black hair,yes,0.8
South Indian,blond hair,no,0.99
South Indian,blurry,no,0.49
South Indian,brown hair,no,0.59
South Indian,bushy eyebrows,no,0.1
South Indian,chubby,no,0.52
South Indian,double chin,no,0.91
South Indian,expression,neutral,0.29
South Indian,gender,female,0.85
South Indian,glasses,no,1.0
South Indian,goatee,no,0.99
South Indian,gray hair,no,1.0
South Indian,heavy makeup,no,0.25
South Indian,high cheekbones,no,0.12
South Indian,mouth open,no,1.0
South Indian,mustache,no,1.0
South Indian,narrow eyes,no,1.0
South Indian,oval face,yes,1.0
South Indian,pale skin,no,0.52
South Indian,pointy nose,no,0.86
South Indian,race,indian,0.4
South Indian,receding hairline,no,0.05
South Indian,rosy cheeks,no,0.94
South Indian,sideburns,no,1.0
South Indian,straight hair,yes,0.73
South Indian,wavy hair,no,1.0
South Indian,wearing earrings,no,0.09
South Indian,wearing hat,no,1.0
South Indian,wearing lipstick,yes,0.13
South Indian,wearing necklace,no,0.39
South Indian,wearing necktie,no,0.72
South Indian,young,yes,0.91
Spaniard,5oclock shadow,no,1.0
Spaniard,arched eyebrows,no,0.04
Spaniard,attractive,yes,0.04
Spaniard,bags under eyes,no,0.95
Spaniard,bald,no,0.84
Spaniard,bangs,no,0.53
Spaniard,beard,no,1.0
Spaniard,big lips,no,0.58
Spaniard,big nose,no,1.0
Spaniard,black hair,no,0.66
Spaniard,blond hair,no,0.47
Spaniard,blurry,no,0.17
Spaniard,brown hair,yes,0.39
Spaniard,bushy eyebrows,no,0.85
Spaniard,chubby,no,0.88
Spaniard,double chin,no,1.0
Spaniard,expression,neutral,0.56
Spaniard,gender,female,1.0
Spaniard,glasses,no,1.0
Spaniard,goatee,no,1.0
Spaniard,gray hair,no,0.98
Spaniard,heavy makeup,no,0.31
Spaniard,high cheekbones,no,0.43
Spaniard,mouth open,no,1.0
Spaniard,mustache,no,1.0
Spaniard,narrow eyes,no,0.73
Spaniard,oval face,yes,0.74
Spaniard,pale skin,no,0.28
Spaniard,pointy nose,no,0.51
Spaniard,race,white,1.0
Spaniard,receding hairline,no,0.33
Spaniard,rosy cheeks,no,0.93
Spaniard,sideburns,no,1.0
Spaniard,straight hair,yes,0.56
Spaniard,wavy hair,no,1.0
Spaniard,wearing earrings,yes,0.17
Spaniard,wearing hat,no,0.86
Spaniard,wearing lipstick,yes,0.22
Spaniard,wearing necklace,no,0.13
Spaniard,wearing necktie,no,0.99
Spaniard,young,yes,0.58
Swedish,5oclock shadow,no,1.0
Swedish,arched eyebrows,no,0.48
Swedish,attractive,no,0.38
Swedish,bags under eyes,no,0.87
Swedish,bald,no,0.69
Swedish,bangs,no,0.66
Swedish,beard,no,1.0
Swedish,big lips,no,0.95
Swedish,big nose,no,1.0
Swedish,black hair,no,0.76
Swedish,blond hair,yes,0.37
Swedish,blurry,yes,0.41
Swedish,brown hair,no,0.23
Swedish,bushy eyebrows,no,1.0
Swedish,chubby,no,0.65
Swedish,double chin,no,0.83
Swedish,expression,neutral,0.13
Swedish,gender,female,1.0
Swedish,glasses,no,1.0
Swedish,goatee,no,1.0
Swedish,gray hair,no,0.45
Swedish,heavy makeup,no,0.67
Swedish,high cheekbones,no,0.02
Swedish,mouth open,no,0.87
Swedish,mustache,no,1.0
Swedish,narrow eyes,no,0.59
Swedish,oval face,yes,0.71
Swedish,pale skin,no,0.3
Swedish,pointy nose,no,0.58
Swedish,race,white,1.0
Swedish,receding hairline,no,0.04
Swedish,rosy cheeks,no,0.9
Swedish,sideburns,no,1.0
Swedish,straight hair,yes,0.44
Swedish,wavy hair,no,0.92
Swedish,wearing earrings,yes,0.11
Swedish,wearing hat,no,1.0
Swedish,wearing lipstick,no,0.24
Swedish,wearing necklace,no,0.2
Swedish,wearing necktie,no,0.89
Swedish,young,yes,0.06
Swiss,5oclock shadow,no,1.0
Swiss,arched eyebrows,no,0.32
Swiss,attractive,yes,0.28
Swiss,bags under eyes,no,0.96
Swiss,bald,no,0.54
Swiss,bangs,no,0.28
Swiss,beard,no,1.0
Swiss,big lips,no,0.78
Swiss,big nose,no,1.0
Swiss,black hair,no,0.71
Swiss,blond hair,no,0.11
Swiss,blurry,no,0.28
Swiss,brown hair,yes,0.26
Swiss,bushy eyebrows,no,1.0
Swiss,chubby,no,0.75
Swiss,double chin,no,0.92
Swiss,expression,smile,0.57
Swiss,gender,female,1.0
Swiss,glasses,no,1.0
Swiss,goatee,no,0.95
Swiss,gray hair,no,0.84
Swiss,heavy makeup,yes,0.18
Swiss,high cheekbones,yes,0.26
Swiss,mouth open,no,0.32
Swiss,mustache,no,1.0
Swiss,narrow eyes,no,0.96
Swiss,oval face,yes,1.0
Swiss,pale skin,yes,0.06
Swiss,pointy nose,no,0.85
Swiss,race,white,1.0
Swiss,receding hairline,no,0.21
Swiss,rosy cheeks,no,0.77
Swiss,sideburns,no,0.98
Swiss,straight hair,yes,1.0
Swiss,wavy hair,no,1.0
Swiss,wearing earrings,no,0.58
Swiss,wearing hat,no,1.0
Swiss,wearing lipstick,yes,0.51
Swiss,wearing necklace,no,0.35
Swiss,wearing necktie,no,0.73
Swiss,young,yes,0.64
Taiwanese,5oclock shadow,no,1.0
Taiwanese,arched eyebrows,yes,0.01
Taiwanese,attractive,yes,0.25
Taiwanese,bags under eyes,no,0.29
Taiwanese,bald,no,0.81
Taiwanese,bangs,yes,0.13
Taiwanese,beard,no,1.0
Taiwanese,big lips,no,0.62
Taiwanese,big nose,no,0.87
Taiwanese,black hair,no,0.3
Taiwanese,blond hair,no,0.73
Taiwanese,blurry,no,0.25
Taiwanese,brown hair,yes,0.35
Taiwanese,bushy eyebrows,no,0.84
Taiwanese,chubby,no,0.65
Taiwanese,double chin,no,0.9
Taiwanese,expression,neutral,0.01
Taiwanese,gender,female,0.9
Taiwanese,glasses,no,1.0
Taiwanese,goatee,no,1.0
Taiwanese,gray hair,no,1.0
Taiwanese,heavy makeup,no,0.22
Taiwanese,high cheekbones,no,0.02
Taiwanese,mouth open,no,0.86
Taiwanese,mustache,no,1.0
Taiwanese,narrow eyes,yes,0.06
Taiwanese,oval face,yes,0.93
Taiwanese,pale skin,no,0.05
Taiwanese,pointy nose,no,1.0
Taiwanese,race,asian,1.0
Taiwanese,receding hairline,no,0.57
Taiwanese,rosy cheeks,no,1.0
Taiwanese,sideburns,no,1.0
Taiwanese,straight hair,yes,0.88
Taiwanese,wavy hair,no,1.0
Taiwanese,wearing earrings,no,0.1
Taiwanese,wearing hat,no,1.0
Taiwanese,wearing lipstick,yes,0.22
Taiwanese,wearing necklace,no,0.35
Taiwanese,wearing necktie,no,0.71
Taiwanese,young,yes,0.66
Thai,5oclock shadow,no,1.0
Thai,arched eyebrows,no,0.45
Thai,attractive,no,0.35
Thai,bags under eyes,no,0.27
Thai,bald,no,0.75
Thai,bangs,no,0.83
Thai,beard,no,1.0
Thai,big lips,no,0.28
Thai,big nose,no,0.63
Thai,black hair,yes,0.56
Thai,blond hair,no,0.92
Thai,blurry,yes,0.44
Thai,brown hair,no,0.58
Thai,bushy eyebrows,no,0.41
Thai,chubby,no,0.5
Thai,double chin,no,0.88
Thai,expression,neutral,0.03
Thai,gender,female,0.94
Thai,glasses,no,1.0
Thai,goatee,no,1.0
Thai,gray hair,no,1.0
Thai,heavy makeup,no,0.79
Thai,high cheekbones,yes,0.2
Thai,mouth open,no,0.58
Thai,mustache,no,1.0
Thai,narrow eyes,yes,0.1
Thai,oval face,yes,0.4
Thai,pale skin,no,0.31
Thai,pointy nose,no,1.0
Thai,race,asian,1.0
Thai,receding hairline,no,0.36
Thai,rosy cheeks,no,1.0
Thai,sideburns,no,1.0
Thai,straight hair,yes,0.35
Thai,wavy hair,no,0.95
Thai,wearing earrings,no,0.13
Thai,wearing hat,no,0.19
Thai,wearing lipstick,no,0.34
Thai,wearing necklace,no,0.33
Thai,wearing necktie,no,1.0
Thai,young,yes,0.89
Uzbek,5oclock shadow,no,1.0
Uzbek,arched eyebrows,yes,0.07
Uzbek,attractive,yes,0.58
Uzbek,bags under eyes,no,1.0
Uzbek,bald,no,0.76
Uzbek,bangs,no,0.5
Uzbek,beard,no,0.97
Uzbek,big lips,no,0.48
Uzbek,big nose,no,1.0
Uzbek,black hair,yes,0.14
Uzbek,blond hair,no,0.84
Uzbek,blurry,no,0.48
Uzbek,brown hair,no,0.04
Uzbek,bushy eyebrows,no,0.79
Uzbek,chubby,no,0.83
Uzbek,double chin,no,1.0
Uzbek,expression,neutral,0.78
Uzbek,gender,female,0.99
Uzbek,glasses,no,1.0
Uzbek,goatee,no,0.96
Uzbek,gray hair,no,1.0
Uzbek,heavy makeup,yes,0.18
Uzbek,high cheekbones,no,0.66
Uzbek,mouth open,no,1.0
Uzbek,mustache,no,1.0
Uzbek,narrow eyes,no,0.57
Uzbek,oval face,yes,0.97
Uzbek,pale skin,yes,0.02
Uzbek,pointy nose,no,0.74
Uzbek,race,white,0.85
Uzbek,receding hairline,no,0.34
Uzbek,rosy cheeks,no,1.0
Uzbek,sideburns,no,0.95
Uzbek,straight hair,yes,0.81
Uzbek,wavy hair,no,0.92
Uzbek,wearing earrings,no,0.28
Uzbek,wearing hat,no,1.0
Uzbek,wearing lipstick,yes,0.51
Uzbek,wearing necklace,no,0.34
Uzbek,wearing necktie,no,0.78
Uzbek,young,yes,0.94
Vietnamese,5oclock shadow,no,1.0
Vietnamese,arched eyebrows,no,0.14
Vietnamese,attractive,yes,0.24
Vietnamese,bags under eyes,no,0.65
Vietnamese,bald,no,0.63
Vietnamese,bangs,no,0.31
Vietnamese,beard,no,1.0
Vietnamese,big lips,no,0.5
Vietnamese,big nose,no,0.88
Vietnamese,black hair,no,0.04
Vietnamese,blond hair,no,0.87
Vietnamese,blurry,no,0.12
Vietnamese,brown hair,yes,0.15
Vietnamese,bushy eyebrows,no,1.0
Vietnamese,chubby,no,0.51
Vietnamese,double chin,no,0.84
Vietnamese,expression,smile,0.38
Vietnamese,gender,female,1.0
Vietnamese,glasses,no,1.0
Vietnamese,goatee,no,0.98
Vietnamese,gray hair,no,1.0
Vietnamese,heavy makeup,yes,0.09
Vietnamese,high cheekbones,yes,0.29
Vietnamese,mouth open,no,0.56
Vietnamese,mustache,no,1.0
Vietnamese,narrow eyes,no,0.32
Vietnamese,oval face,yes,1.0
Vietnamese,pale skin,no,0.13
Vietnamese,pointy nose,no,1.0
Vietnamese,race,asian,1.0
Vietnamese,receding hairline,no,0.39
Vietnamese,rosy cheeks,no,1.0
Vietnamese,sideburns,no,1.0
Vietnamese,straight hair,yes,0.79
Vietnamese,wavy hair,no,0.9
Vietnamese,wearing earrings,no,0.3
Vietnamese,wearing hat,no,1.0
Vietnamese,wearing lipstick,yes,0.44
Vietnamese,wearing necklace,no,0.28
Vietnamese,wearing necktie,no,0.81
Vietnamese,young,yes,0.67
Welsh,5oclock shadow,no,1.0
Welsh,arched eyebrows,yes,0.22
Welsh,attractive,yes,0.44
Welsh,bags under eyes,no,1.0
Welsh,bald,no,0.62
Welsh,bangs,no,0.63
Welsh,beard,no,0.95
Welsh,big lips,no,0.61
Welsh,big nose,no,1.0
Welsh,black hair,no,0.81
Welsh,blond hair,no,0.29
Welsh,blurry,no,0.6
Welsh,brown hair,yes,0.47
Welsh,bushy eyebrows,no,1.0
Welsh,chubby,no,0.85
Welsh,double chin,no,1.0
Welsh,expression,neutral,0.46
Welsh,gender,female,1.0
Welsh,glasses,no,1.0
Welsh,goatee,no,0.89
Welsh,gray hair,no,0.95
Welsh,heavy makeup,yes,0.43
Welsh,high cheekbones,no,0.47
Welsh,mouth open,no,0.95
Welsh,mustache,no,0.99
Welsh,narrow eyes,no,0.9
Welsh,oval face,yes,1.0
Welsh,pale skin,no,0.12
Welsh,pointy nose,no,0.59
Welsh,race,white,1.0
Welsh,receding hairline,no,0.22
Welsh,rosy cheeks,no,0.69
Welsh,sideburns,no,0.93
Welsh,straight hair,yes,0.9
Welsh,wavy hair,no,1.0
Welsh,wearing earrings,no,0.19
Welsh,wearing hat,no,1.0
Welsh,wearing lipstick,yes,0.68
Welsh,wearing necklace,no,0.26
Welsh,wearing necktie,no,0.78
Welsh,young,yes,0.8
